id,name,yearpublished,minplayers,maxplayers,description,average,bayesaverage,playingtime,minage,thumbnail,image
"11,Bohnanza,bohnanza bohnanza family game publish different editionsin game plant harvest bean card order earn coin player start hand random bean card card number correspond number type bean deck unlike card game nt rearrange order card hand use order ve pick deck mdash trade player heart gameon turn plant card hand quotfieldsquot field hold type bean plant type bean s field harvest field room new arrival usually nt good reveal card deck trade card card hand card player future promise card receive right trading complete mdash trade turn involve active player mdash end turn draw card deck place handwhen harvest bean receive coin base number bean card field quotbeanometerquot particular type bean flip   card field transform coin place remainder card discard pile deck run shuffle discard play deck time end game harvest field earn coin winsthe original german edition support   player english version rio grande game come edition german expansion include slightly oversized box difference content bean s weinbrandbohne brandy bean replace wachsbohne wax bean edition include rule seven player like erweiterungsset adapt twoplayer rule al cabohne order allow people play bohnanza,1997,1.6751,7.04068,6.93413,1.29308,2,7,8.421052631578947,6.057553956834532,5,""['3', '4', '5', '6']"",59803,362,2676,2822,45,45,45,13,39886,0,20,27,11,0,Bean Games (Lookout),0,https://cf.geekdo-images.com/8SADtu_4zBH_UJrCo935Iw__original/img/RNuAr2CDbxE3XzeJVkxj4Df3eVM=/0x0/filters:format(jpeg)/pic6348964.jpg,468,21926,21926,116,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0",,0,0,0,,,,30,1,,
"12,Ra,ra auction setcollection game ancient egyptian theme   turn player able purchase lot tile bidding tile sun   player sun player continue likewise set situation single uncontested player bidding tile end round occur   tension build round end player chance win lot epoch   tile immediate point prevent negative point have certain type end round epoch point final round   game last quotepochsquot round   game offer short learning curve experienced player find fastmove quick playfrom boxthe game span   year egyptian history hourthe player seek expand power fame way accomplish influence pharaohs building monument farm nile pay homage god advance technology culture people ra auction set collect game player choose risk great reward glory sun god ra,1999,2.3498,7.47924,7.31019,1.33683,2,5,9.6,11.081395348837209,3,""['3', '4', '5']"",19094,1238,4798,1764,60,45,60,12,19685,0,4,0,3,0,Alea Big Box,0,https://cf.geekdo-images.com/1m3z3iX0iVtII8AEMuWOeA__original/img/ksL-5e9Bw-ognDVyAB8C4fjLZhY=/0x0/filters:format(jpeg)/pic3013552.jpg,186,138,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
"13,Catan,catan settler catan player try dominant force island catan build settlement city road turn dice roll determine resource island produce player build spend resource sheep wheat wood brick ore depict resource card land type exception unproductive desert produce specific resource hill produce brick forest produce wood mountain produce ore field produce wheat pasture produce sheepsetup includes randomly place large hexagonal tile show resource desert honeycomb shape surround water tile contain port exchange number disk correspond die roll sided dice place resource tile player give settlement think house road stick turn place intersection border resource tile player collect hand resource card base hex tile lastplace house adjacent robber pawn place desert tilea turn consist possibly play development card roll dice collect resource card base roll position house upgrade citiesmdashthink hotel   roll turn resource card possible desire improvement trading card port trading resource card player   roll active player move robber new hex tile steal resource card player build structure adjacent tilepoint accumulate build settlement city have long road large army development card gather certain development card simply award victory point player gather   point hold secret announce total claim wincatan win multiple award popular game recent history amazing ability appeal experienced gamer new hobbydie siedler von catan originally publish kosmo go multiple edition license mayfair undergo edition settler catan   formally rename catan well represent core base game catan series republish travel edition portable edition compact edition special gallery edition replace   family edition anniversary wooden edition deluxe d collector edition basic simply catan beginner version entirely new theme japan asia settler catan rockman edition numerous spinoff expansion game,1995,2.3139,7.13746,6.97148,1.48183,3,4,8.8,27.030395136778115,4,""['3', '4']"",165651,484,5865,7508,120,60,120,10,107141,0,59,88,29,0,Catan,0,https://cf.geekdo-images.com/W3Bsga_uLP9kO91gZ7H8yw__original/img/xV7oisd3RQ8R-k18cdWAYthHXsA=/0x0/filters:format(jpeg)/pic2419375.jpg,427,409,21926,129,21926,21926,21926,21926,21926,0,1,0,1,0,0,0,0",,0,0,0,,,,30,1,,
"14,Basari,basari game gem merchant compete marketplacequot racing collect trading predict merchant doto start game player receive   gemstone     color turn movement phase action phasefor movement simultaneously roll die move marker trackthey choose different action perform action variety gem market stall   immediately score     point   roll collect pointsthe action card reveal simultaneously   player choose particular action simply perform action   player choose action barter forth gemstone player eventually accept offer gem action     player choose action card action cancel note player game conflict choice   action negotiating go ona new turn begin roll die move choose reveal action card merchant piece complete lap board round end bonus point award base majority gem color complete lap round game high score winsreimplemente      edel stein   reich,1998,1.8571,6.75682,6.12462,1.22699,3,4,10.0,16.0,4,""['3', '4']"",1898,47,204,182,25,25,25,10,1650,0,1,0,2,0,,0,https://cf.geekdo-images.com/TFsXHCy5o7paWDX2RqHkZA__original/img/j5BnK3mj-9oxq_qxRgSTJzVVQ08=/0x0/filters:format(jpeg)/pic147370.jpg,2015,1000,21926,552,21926,21926,21926,21926,21926,0,1,0,1,0,0,0,0",,0,0,0,,,,30,1,,
"15,Cosmic Encounter,request fantasy flight games board game geek list edition cosmic encounter separate entry edition game core feature compatible expansion production differ entry original   eon versionplayer represent alien race seek spread foreign world   accomplish challenge player enlist aid interested party   alien power unique race player way bend outright break rule gamethe game continue player occupy planet system win shared victory possible player need occupy one system win,1977,2.3747,6.91053,6.4313,1.82343,2,6,10.555555555555555,18.285714285714285,4,""['4', '5', '6']"",4326,122,462,427,90,90,90,12,3883,0,5,11,4,0,Cosmic Encounter,0,https://cf.geekdo-images.com/-h1dJq8he4yvRG7rRzF-nQ__original/img/Acu3-TEjeRexlWAGcp1vwYV9et4=/0x0/filters:format(jpeg)/pic428608.jpg,1190,723,21926,21926,308,21926,21926,21926,21926,1,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
16,MarraCash,1996,3,4,take role shop owner moroccan marketplace player buy shop colorcode tourist form neat little wooden people hat start show entry gate player likecolored shop earn money opponent shop share profit tourist place board player big bankroll take victory game combine great auction element spatial relationship appealing overall effectcontent    game board    blue auction stone    counter sheet         shop sign   ali anfa omar leila           player aid card   plastic stand pawn   quotvisitorsquot   yel,,,30,1,,
17,Button Men,1999,2,2,game gain quick following major gaming convention    feature character represent actual stickpin button unique allowance polyhedral dice   dice endow   character fairly unique combat ability   player roll dice opponent dice casualty   object game die side combat   simple inventive deep,,,30,1,,
"18,RoboRally,robot robo rally automobile factory spend weekday toil assembly line hard hour building highspeed supercar action saturday night factory world mad machine dangerous scheme robot engage epic raceit take speed wit dirty trick racing legend player choose robot direct move play card chaos ensue player reveal card ve choose player face obstacle like industrial laser gape pit move conveyor belt   advantage player aim checkpoint numerical order player reach checkpoint win source httpavalonhillwizardscomgamesroborallycomingsoonin roborally player control different robot race dangerous factory floor goal place board navigate robot specific order board combine different way accommodate different player count race long short player desirein general player fill robot quotregistersquot facedown movement card happen simultaneously time element involve nt act fast force place card randomly fill rest start register reveal card card high number move resolve movement reveal card example movement card turn   degree leave right forward   space backward   space big variety plan perfect route robot run push course disastrous nt reprogram card fix itrobot fire laser factory element resolve movement robot damage damage certain movement card fix long change destroy entirely robot claim goal correct order win award point play tournament stylethe game reprint avalon hill hasbrowotc,1994,2.4302,7.07714,6.93168,1.53897,2,8,9.976190476190476,17.556962025316455,5,""['3', '4', '5', '6', '7', '8']"",26283,522,2730,1727,120,45,120,12,22840,0,1,5,1,0,,0,https://cf.geekdo-images.com/eJx8hRJ6-86C2VrhECwEPA__original/img/-9I8B82hDOO1n0h9urwZUdz6bqc=/0x0/filters:format(jpeg)/pic1000553.jpg,473,359,21926,21926,157,21926,21926,21926,21926,1,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
19,Wacky Wacky West,1991,2,4,long time ago village far far away disturbed townsfolk decide destroy entire town order rid evil menace technically dogmouse think idiomatic thing   villager rebuild building town include precious outhouse forget include city wall river road   rectify player lay tile thing board building catch underneath automatically eliminate outhouse   outhouse destroy player vote place particular section   player try retain type building piece place winner person highest value building standingwacky wacky we,,,30,1,,
20,Full Metal Plan̬te,1988,2,4,game science fiction strip mining player land planet try grab ore possible game   player tank boat barge mining equipment base ship disposal contend weather miner   game use action point allowance system dice free   player turn pool point divide variety way put point unit movement divide unit   turn time player think quickly retract   game beautifully detailed hex grid real metal miniature unitsonline play      metal galaxy     metal program     vassal modulereimplemente     metal conqute twopla,,,30,1,,
21,Gateway to the Stars,1994,1,7,x game explore expand exploit exterminate line stellar conquest player control space fare empire move star system explore conquer,,,30,1,,
"22,Magic Realm,nd edition rulebook intro magic realmmagic realm game fantasy adventuring set land fill monster fabulous treasure great warrior magician scene set ruin mighty kingdom inhabit sparse group native swarm monster beneath rich remnant magical civilization scatter lose mapto scene come adventurer seeker rich fame promising field swordsman dwarf magician sorceror human halfhuman come seek loot legendary rich lost civilization play adventurer step unknown realm magic monster battle treasuresas player role sixteen major character represent detail game control go try handle combat course game run deadly monster tribe human range old friend swear enemy treasure enhance ability waysmagic realm complex game design recapture suspense desperate struggle fantasy literature game create small complete fantasy world game new adventure new map lie hide new location game include play piece actually single playing additional piece set appear depend direction character explore treasure trove treasure spell set unfound game end monster native meet result extremely unpredictable game surprise game play differently time playedthe complete game system include hike hiding search fatigue wound rest trade hire native combat character monster native variety weapon horseback afoot magical effectsbetween explore new land mountain cave valley wood change game know find place find game new unpredictable adventure fill surprise find like board game playedavalon hill complexity rating   list article magic realm general,1979,4.5277,7.21002,6.35327,1.97299,1,16,14.142857142857142,23.357142857142858,3,""['1', '2', '3', '4', '5', '6']"",3891,459,1528,379,240,240,240,12,2019,0,1,0,1,0,,0,https://cf.geekdo-images.com/X-wQkavJHlZaUqlL1ClEsA__original/img/VSzycwqmBGWE5aDokPi1aR57WUo=/0x0/filters:format(jpeg)/pic148345.jpg,1350,763,21926,21926,278,21926,21926,21926,21926,1,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
23,Divine Right,1979,2,6,divine right fantasy board game game wizard tsr combine combat diplomacy roleplay   hour fastpaced action player attempt build hold alliance king long defeat player win game kingdom human elve goblin dwarf troll pawn power game absolute monarchs play ambassador vie attention king favor curry assassination backstabbing popular pastime loyal ally leave heat battle drop hat   die magician arcane finger thing god intervene situation demand skill luckthe box contain rule book fullcolor mapsheet   die,,,30,1,,
24,Twilight Imperium,1997,2,6,sprawl game space fare race dominate know space game combine number element game system unique package hex tile create game board player begin race unique power game focus heavily political voting phase web trade agreement playerspart twilight imperium series   familyexpande     twilight imperium borderland     twilight imperium distant sun     twilight imperium twilight armada     twilight imperium outer rimreimplemente     twilight imperium second edition     twilight imperium edition     twil,,,30,1,,
25,Battlemist,1998,2,6,fantasy relative twilight imperium player control race juggle military economic concern quest gather magical star spread land   game board hex tile player use resource system similarity settler catan   card drive system resolve player questsexpande     battlemist sail warreimplemente     runewar,,,30,1,,
"26,Age of Renaissance,game describe semisequel civilizationplayer attempt build culture middle age renaissance period game feature card deck hold event payout card famous leader particular era card turn game timing position play crucial ensure different game timethe main goal citystate gain point form technical advance keep culture misery level low possible payout structure similar civilization advanced civilization resource type yield increasingly high payout time particular payout trigger card play player ingenious smooth working ldquocombatrdquo system implement determine province ndash resource   control,1996,3.8598,7.09678,6.34875,1.7436,3,6,13.333333333333334,38.75,5,""['4', '5', '6']"",2869,146,391,271,300,120,300,12,2144,0,2,0,0,0,,0,https://cf.geekdo-images.com/hNg-cufowH-csaTfzC_nPw__original/img/FXsJRqYH2tFltJrLqSlWdoZaJs8=/0x0/filters:format(jpeg)/pic5682587.jpg,1356,742,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
27,Supremacy: The Game of the Superpowers,1984,2,6,supremacy pit conventional superpower control earth   line modern warfare risk integrate supplydemand economic system   warfare come form conventional biological chemical way nuclear   neat little plastic mushroom cloud include region earth blast nuclear winter occur player lose   game spawn great supplement expand game,,,30,1,,
"28,Illuminati,classic steve jackson game world domination player secret society attempt spread tendril special interest group world late edition come additional card reworked graphic bring venerable game datereissue     illuminati small plastic box   black white card paper moneyexpansion     illuminati yk     illuminati brainwash rework illuminati expansion set      illuminati bavarian fire drill     illuminati mutual assure distractionspin     illuminati crime lord,1987,2.6472,6.4816,6.15386,1.59729,2,8,12.592592592592593,8.692307692307692,4,""['4', '5', '6']"",8754,74,425,428,180,60,180,12,4933,0,4,5,2,1,Illuminati,0,https://cf.geekdo-images.com/ea8y04WKGgdQkFy1Pbw9tA__original/img/F_xGJIZyrFTkGwRRhV4wk8uVbh4=/0x0/filters:format(jpeg)/pic1320091.jpg,1919,1138,21926,21926,488,21926,21926,21926,21926,1,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
29,Terrain Vague,1993,2,4,have system similarity metal plante terrain vague war gameish game base young gang kid fight turf junk yard   imagine rrated little rascal movie weapon ideaa winner   concour international de crateurs de jeux de socit,,,30,1,,
30,Dark Tower,1981,1,4,epic fantasy quest recover ancient magic scepter tyrant king dark tower bring life electronic formto vanquish usurper player search realm circular game board key unlock tower gate   journey battle fight rove band brigand dragon plague hunger   bazaar visit purchase supply assistant quest   uncharted territory lose tomb ruin plunder   mighty army raise player lay siege tower fight glorious victory crush defeatdark tower technologically impressive release    gameplay facilitate small computer insi,,,30,1,,
31,Dark World,1991,2,5,line heroquest come heavily produce game call dark world player evil lord control dungeon rest player character room room fight monster gain treasure real work treasure chest magic weapon inside figure new weapon character hand,,,30,1,,
32,Buffalo Chess,1975,2,2,buffalo chess aka bison player represent indian try village overrun buffalo player move indian chief dog player take charge herd rampage buffalo represent wooden piece style play piece differently,,,30,1,,
34,Arkham Horror,1987,1,8,arkham horror cooperative adventure game theme hp lovecraft cthulhu mythos   game player explore town arkham attempt stop unmentionable horror spill world possible insane lose gamereimplemente inarkham horror,,,30,1,,
36,Federation & Empire,1986,2,8,sprawl empire game set   star fleet universe player command race variety scenario replay quothistoricalquot situation galactic politic futureit base set federation empire series productsthe star fleet universe series base game star fleet battle federation amp empire strategic game base background   federation amp empire stand game star fleet battle require need play gamethe game closely related star fleet battle resolve tactical battle federation amp empire federation amp empire campaign system ,,,30,1,,
37,Dragon Masters,1991,2,4,odd little game game workshop ltd use component mighty empire strategy game   player compete prince elven homeland   player manage economy base village city recruit dragon defeat enemy,,,30,1,,
38,Runes,1981,2,4,rune different kind word game player actually construct letter special game piece   player attempt figure simply spelling actual letter structure hidden wordsplayer turn put letter segment letter box player board point segment belong letter player get point nt player think know opponent word guess gain point equal number segment word lose point incorrect,,,30,1,,
39,Darkover,1979,2,4,base book marion zimmer bradley game meld typical strategy game normally find party game   player vie control world steep psychic energy   mix strategic placement counter chant quoti dare youquot party game mechanic make truly unique game,,,30,1,,
40,Borderlands,1982,2,4,try squeeze diplomacy reasonable time eon design borderland game political wrangling free market society fuel ambition conquest   borderland blend conflict dealmake element diplomacy resource management inspire settler catanthe german edition game ascalion contain element borderland expansionsreimplemente     gearworld borderland,,,30,1,,
"41,Can't Stop,sid sackson classic player press luck dice choose combination tactically close column board column possible total sixside dice number space column vary probable total space column roll take complete turn player roll dice arrange duos            amp        amp         amp   player place advance progress marker open column associate choose total choose roll end turn replace progress marker marker color player advance different column turn advance column player close reach end space roll doesnrsquot result legal play turn end turnrsquos progress losta predecessor   great race exist paperandpencil game,1980,1.1553,6.85195,6.69638,1.30733,2,4,7.279411764705882,6.0,3,""['2', '3', '4']"",12942,401,1825,940,30,30,30,9,14370,0,6,1,4,1,,0,https://cf.geekdo-images.com/JZpo3AnyFH4TqxKWFSFKGQ__original/img/FqTBNKpUalw3f4FEWvFcQ5ydtPg=/0x0/filters:format(jpeg)/pic1046518.jpg,753,21926,21926,202,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0",,0,0,0,,,,30,1,,
"42,Tigris & Euphrates,regard reiner knizia masterpiece tigris amp euphrates set ancient fertile crescent player build civilization tile placement player give different leader farm trading religion government leader collect victory point category score end game number point weak category encourage player overly specialized conflict arise civilization connect board ie external conflict leader type survive conflict leader replace civilization internal conflictsstarting mayfair edition   tigris amp euphrate include doublesided game board extra component play advanced version game quotziggurat expansionquot initially release separate item germany own base game special monument extend space board monument build player cross civilization token color discard token replace ziggurat marker place ziggurat tower middle tile ziggurat marker destroy rule monument apply ziggurat monument king inside kingdom ziggurat victory point color choice end turnsome version tigris amp euphrate list   player incorrectly state   player tigris amp euphrates call reiner knizia tilelaye trilogy,1997,3.5064,7.69599,7.52665,1.48238,2,4,12.336363636363636,16.050359712230215,4,""['2', '3', '4']"",29238,1389,6463,2674,90,90,90,12,26068,0,15,1,2,0,Euro Classics (Reiner Knizia),0,https://cf.geekdo-images.com/soAzNVWglCdVBacNjoCTJw__original/img/HClVZy9phFP-NPte4UBQpclsaHU=/0x0/filters:format(jpeg)/pic2338267.jpg,96,85,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
43,Airlines,1990,2,6,airline theme exactly suggest title game similar sid sackson classic acquire player compete majority stockholder highlyabstracted company player own valuable portfolio end winnereach turn player choose action expand airline stock hand play stock hand expand airline add route board increase value trick scoring card show randomly play stock count player holding,,,30,1,,
"44,David & Goliath,game add interesting twist standard tricktaking genre   suit player follow suit   winner trick high card play regardless suit   winner get card trick minus card win   card give player play low card   trick play scoring begin   player score facevalue card suit collect point card suit   player point number hand win game,1997,1.6257,6.45438,5.96607,1.20766,3,6,7.769230769230769,1.0,4,""['3', '4', '5', '6']"",1912,157,453,179,60,60,60,8,1598,0,2,0,0,0,,0,https://cf.geekdo-images.com/XTkkx0j13h77fnCG7mYI3A__original/img/a08G83lXvnLaMCgSA9cExpDTvII=/0x0/filters:format(jpeg)/pic359902.jpg,2699,21926,21926,778,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0",,0,0,0,,,,30,1,,
"45,Perudo,liars dice aka bluff perudo dudo south american dice game player give dice cup roll hide player successively high declaration result dice remain game eg quotthere sixesquot contest bid happen dice reveal bidder caller lose dice depend correct player dice winneras public domain dice game number variant similar game call liar dice include play poker dice differ market version player declare hand value oppose dice play pokerhand value,1800,1.2625,6.90371,6.72095,1.40634,2,6,8.181818181818182,26.0,6,""['3', '4', '5', '6']"",16998,135,1039,922,30,15,30,8,13144,0,28,0,1,0,,0,https://cf.geekdo-images.com/UCiGSoCqbOsXS8JzZZC_SA__original/img/wjGWTdm1oFcxipprcBZT9_OZYRc=/0x0/filters:format(png)/pic3949242.png,721,21926,21926,190,21926,21926,21926,50,21926,0,0,0,1,0,0,1,0",,0,0,0,,,,30,1,,
"46,Medici,reiner knizia standby game play vary number people   object accrue point round spend point bid set card   turn current player turn card player bid high bid take card   card denote commodity type quantityvalue   round end player ship commodity card deck exhaust   round point award player have give commodity valuable total quotcargo loadquotpart knizia auction trilogyone knizia florentine auction game relate game       medici vs strozzi twoplayer version      strozzi      mercator include neue spiele m alten rom ancestor medici,1995,2.2555,7.15626,6.83642,1.2623,2,6,10.1,21.0,5,""['4', '5', '6']"",8045,381,1371,591,60,60,60,10,7414,0,1,0,2,0,Knizia Florentine auction gam,1,https://cf.geekdo-images.com/1njrltRuw3DrS0gNNu02Dg__original/img/DcY7lagZO1XKuTQY5Tfk8Hwm0B8=/0x0/filters:format(jpeg)/pic2672797.jpg,562,352,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
"47,Chinatown,negotiation game true sense word player acquire ownership section city block place tile represent business blocksection   end turn tile ve lay give sort payout complete business form connected tile type pay bit well   resource deal player randomly player trade match business adjacent locationsthis game   alea big box series,1999,2.2685,7.35277,7.04135,1.33858,3,5,10.620689655172415,321.1666666666667,5,""['4', '5']"",11175,772,3107,499,60,60,60,12,9033,0,2,0,0,0,Alea Big Box,0,https://cf.geekdo-images.com/QnIOe-1wb8_zuxglKjAwOQ__original/img/KVIx8Af2rXVkyaUA8lxjl_H1aWc=/0x0/filters:format(png)/pic2037509.png,375,252,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
